year,geo_name,geo,high_school_graduation
2017,"Williamson County, TN","05000US47187",0.96
2017,"Barnes County","05000US38003",0.96
2017,"De Soto Parish","05000US22031",0.96
2017,"Parmer County","05000US48369",0.96
2017,"Wright County","05000US19197",0.96
2017,"Rockwall County","05000US48397",0.96
2017,"Morgan County","05000US47129",0.96
2016,"Shelby County","05000US19165",0.96
2015,"Johnson County","05000US21115",0.96
2017,"Pepin County","05000US55091",0.96
2016,"Pepin County","05000US55091",0.96
2015,"Pierce County","05000US55093",0.96
2015,"Lawrence County","05000US47099",0.96
2017,"Carroll County, MD","05000US24013",0.96
2017,"Henderson County","05000US47077",0.96
2017,"Clay County","05000US05021",0.96
2016,"Waller County","05000US48473",0.96
2016,"Hardin County","05000US48199",0.96
2015,"Collin County, TX","05000US48085",0.96
2015,"Chester County","05000US47023",0.96
2015,"Vilas County","05000US55125",0.96
2015,"Mercer County","05000US39107",0.96
2017,"Wilson County","05000US48493",0.96
2016,"Anderson County","05000US21005",0.96
2017,"Page County","05000US51139",0.96
2017,"Anderson County","05000US21005",0.96
2016,"Oldham County","05000US21185",0.96
2017,"Oldham County","05000US21185",0.96
2016,"Johnson County","05000US21115",0.959
2016,"Chicot County","05000US05017",0.959
2016,"Plymouth County","05000US19149",0.959
2017,"Grundy County","05000US29079",0.959
2016,"Mercer County","05000US39107",0.959
2017,"Hunterdon County, NJ","05000US34019",0.959
2016,"Bremer County","05000US19017",0.959
2015,"Barnes County","05000US38003",0.959
2017,"Henry County","05000US39069",0.959
2016,"Putnam County","05000US39137",0.958
2016,"Harrison County","05000US19085",0.958
2015,"Cass County","05000US31025",0.958
2016,"Trinity County","05000US06105",0.958
2017,"Hill County","05000US48217",0.958
2015,"Waller County","05000US48473",0.958
2016,"Scott County","05000US29201",0.958
2017,"Bailey County","05000US48017",0.958
2017,"Medina County, OH","05000US39103",0.958
2015,"Hardin County","05000US48199",0.958
2015,"Robertson County","05000US21201",0.958
2015,"Gillespie County","05000US48171",0.958
2015,"Tipton County","05000US18159",0.958
2016,"Gillespie County","05000US48171",0.958
2015,"Bremer County","05000US19017",0.958
2017,"Johnson County","05000US21115",0.958
2017,"Grant County","05000US18053",0.958
2016,"Madison County","05000US48313",0.958
2017,"Delaware County, OH","05000US39041",0.958
2015,"Presidio County","05000US48377",0.958
2016,"Coal County","05000US40029",0.958
2016,"Wise County","05000US48497",0.957
2017,"Houston County","05000US48225",0.957
2015,"Yellow Medicine County","05000US27173",0.957
2017,"Andrews County","05000US48003",0.957
2016,"Warren County, OH","05000US39165",0.957
2015,"Kingfisher County","05000US40073",0.957
2015,"Estill County","05000US21065",0.957
2016,"Winneshiek County","05000US19191",0.957
2017,"Ozaukee County","05000US55089",0.957
2016,"Montgomery County","05000US18107",0.957
2017,"Whitley County","05000US18183",0.957
2017,"Calloway County","05000US21035",0.957
2017,"Tipton County","05000US18159",0.957
2015,"Oneida County","05000US16071",0.957
2015,"DeWitt County","05000US48123",0.957
2016,"Carroll County","05000US39019",0.957
2017,"Rusk County","05000US48401",0.957
2016,"Warren County","05000US19181",0.957
2017,"Refugio County","05000US48391",0.957
2015,"Hood County","05000US48221",0.957
2017,"St. Croix County","05000US55109",0.957
2015,"Reeves County","05000US48389",0.957
2017,"Middlesex County, CT","05000US09007",0.957
2017,"Plymouth County","05000US19149",0.957
2017,"Saunders County","05000US31155",0.957
2017,"Austin County","05000US48015",0.957
2015,"Winkler County","05000US48495",0.957
2016,"Oneida County","05000US16071",0.957
2015,"Warren County","05000US19181",0.956
2016,"Iowa County","05000US19095",0.956
2015,"Kewaunee County","05000US55061",0.956
2017,"Kewaunee County","05000US55061",0.956
2017,"Brown County","05000US48049",0.956
2016,"Bracken County","05000US21023",0.956
2017,"Moore County","05000US48341",0.956
2016,"Ottawa County","05000US39123",0.956
2017,"Putnam County","05000US39137",0.955
2017,"Allamakee County","05000US19005",0.955
2017,"Coffey County","05000US20031",0.955
2016,"Monroe County","05000US29137",0.955
2016,"Pierce County","05000US55093",0.955
2017,"Shelby County, AL","05000US01117",0.955
2015,"Iowa County","05000US19095",0.955
2016,"Franklin County","05000US19069",0.955
2016,"Austin County","05000US48015",0.955
2017,"Delta County","05000US48119",0.955
2015,"Lampasas County","05000US48281",0.955
2016,"Calumet County","05000US55015",0.955
2017,"Upshur County","05000US48459",0.955
2017,"Livingston County","05000US29117",0.955
2015,"Pierce County","05000US31139",0.955
