year,geo_name,geo,grads_total_growth
2015,"Grenada County","05000US28043",0.277778
2014,"Bay County, FL","05000US12005",0.277165
2014,"Erie County","05000US39043",0.276402
2015,"Donley County","05000US48129",0.276243
2015,"Stephenson County","05000US17177",0.275253
2014,"Geauga County","05000US39055",0.275
2014,"Tate County","05000US28137",0.274123
2014,"Pickaway County","05000US39129",0.272277
2015,"Monroe County","05000US17133",0.271186
2015,"Union County","05000US19175",0.270358
2015,"Johnson County","05000US29101",0.270251
2015,"Pulaski County","05000US17153",0.269006
2015,"Ravalli County","05000US30081",0.266667
2014,"Russell County","05000US01113",0.266667
2015,"Tippah County","05000US28139",0.263889
2015,"Spalding County","05000US13255",0.262286
2015,"Taos County","05000US35055",0.261682
2014,"Martin County","05000US37117",0.261538
2015,"Barry County","05000US26015",0.261261
2014,"Des Moines County","05000US19057",0.260398
2015,"Glacier County","05000US30035",0.258333
2015,"Brown County","05000US39015",0.258065
2014,"Waldo County","05000US23027",0.258065
2015,"Ector County, TX","05000US48135",0.257971
2015,"Saline County","05000US17165",0.257426
2014,"Hutchinson County","05000US48233",0.255319
2014,"La Plata County","05000US08067",0.254491
2014,"Kosciusko County","05000US18085",0.253102
2015,"San Luis Obispo County, CA","05000US06079",0.2531
2015,"Cullman County","05000US01043",0.251708
2015,"Wasco County","05000US41065",0.25
2015,"Cheatham County","05000US47021",0.25
2014,"Madera County, CA","05000US06039",0.25
2015,"Calhoun County, MI","05000US26025",0.248074
2014,"Sevier County","05000US05133",0.246988
2014,"Osage County","05000US29151",0.246781
2015,"San Lorenzo Municipio","05000US72129",0.244898
2015,"Williamsburg County","05000US45089",0.244094
2014,"Transylvania County","05000US37175",0.242991
2014,"Crittenden County","05000US05035",0.242754
2015,"Hardin County","05000US48199",0.242424
2014,"Fairfield County, OH","05000US39045",0.242424
2015,"Dougherty County","05000US13095",0.241701
2014,"Lafayette County","05000US28071",0.241379
2015,"Pike County","05000US21195",0.24055
2015,"Yuba County","05000US06115",0.240453
2015,"York County","05000US31185",0.239583
2014,"Bowie County","05000US48037",0.238899
2015,"Dodge County","05000US55027",0.238095
2014,"Ashtabula County, OH","05000US39007",0.236967
2014,"Yuma County, AZ","05000US04027",0.235605
2015,"Bexar County, TX","05000US48029",0.235152
2014,"Cumberland County, NC","05000US37051",0.234266
2014,"Woodford County","05000US21239",0.234234
2014,"Jones County","05000US19105",0.233333
2014,"Sampson County","05000US37163",0.232824
2015,"DeSoto County, MS","05000US28033",0.232673
2015,"Polk County","05000US41053",0.230954
2014,"Colleton County","05000US45029",0.230769
2014,"Nolan County","05000US48353",0.22956
2014,"Menominee County","05000US55078",0.229167
2015,"Seward County","05000US31159",0.228041
2015,"Hertford County","05000US37091",0.227586
2014,"Allendale County","05000US45005",0.226744
2014,"Leslie County","05000US21131",0.226667
2014,"Gwinnett County, GA","05000US13135",0.226336
2015,"El Dorado County, CA","05000US06017",0.22619
2014,"Yankton County","05000US46135",0.221675
2014,"Lafayette County","05000US29107",0.221239
2015,"Marion County, FL","05000US12083",0.220421
2014,"Franklin County","05000US21073",0.220395
2014,"McKinley County","05000US35031",0.220141
2014,"Lebanon County, PA","05000US42075",0.219178
2014,"Yavapai County, AZ","05000US04025",0.218608
2014,"Amherst County","05000US51009",0.218487
2014,"Lenoir County","05000US37107",0.21748
2014,"Anne Arundel County, MD","05000US24003",0.217001
2014,"Cleveland County, NC","05000US37045",0.216189
2015,"Webster County","05000US29225",0.214286
2014,"Panola County","05000US48365",0.214182
2014,"Dallas County","05000US19049",0.212963
2014,"Howard County","05000US18067",0.211604
2015,"Berkeley County, WV","05000US54003",0.210945
2015,"Whitley County","05000US21235",0.210799
2014,"Marion County","05000US45067",0.210526
2015,"Cherokee County, GA","05000US13057",0.209821
2014,"Creek County","05000US40037",0.209738
2015,"Albemarle County, VA","05000US51003",0.208672
2015,"Rio Blanco County","05000US08103",0.206897
